,category,scientific_name,common_names,conservation_status
2585,Vascular Plant,Toxicodendron radicans ssp. radicans,Eastern Poison Ivy,
2575,Vascular Plant,Phoradendron leucarpum,American Mistletoe,
3442,Vascular Plant,Crepis elegans,Elegant Hawksbeard,
5230,Vascular Plant,Isoetes howellii,Howell's Quillwort,
678,Vascular Plant,Iris cristata,Crested Dwarf Iris,
3448,Vascular Plant,Ericameria nauseosa var. nauseosa,Rubber Rabbitbrush,
3449,Vascular Plant,Ericameria nauseosa var. oreophila,Rubber Rabbitbrush,
688,Vascular Plant,Calopogon tuberosus var. tuberosus,Tuberous Grasspink,
5630,Vascular Plant,Poa pratensis ssp. pratensis,Kentucky Bluegrass,
3455,Vascular Plant,Erigeron formosissimus var. viscidus,Beautiful Fleabane,
1124,Vascular Plant,Polygonum coccineum,Longroot Smartweed,
5624,Vascular Plant,Poa cusickii ssp. epilis,Cusick's Bluegrass,
5623,Vascular Plant,Poa cusickii ssp. cusickii,Cusick's Bluegrass,
5622,Vascular Plant,Poa cusickii,Cusick's Bluegrass,
2502,Vascular Plant,Malus coronaria,Northern Crabapple,
5620,Vascular Plant,Parapholis incurva,Curved Sicklegrass,
5294,Vascular Plant,Mimulus pilosus,False Monkeyflower,
4297,Vascular Plant,Dryopteris expansa,Spreading Woodfern,
5816,Vascular Plant,Nicotiana acuminata var. multiflora,Manyflower Tobacco,
4302,Vascular Plant,Cryptogramma acrostichoides,American Rockbrake,
3503,Vascular Plant,Packera dimorphophylla var. paysonii,Payson's Groundsel,
